"Refs","Value","Footprint","MPN","LCSC","DNP"
"C201,C203","100nF","Capacitor_SMD:C_0603_1608Metric","","",""
"C202,C204","10uF","Capacitor_SMD:C_0805_2012Metric","","",""
"J201","MAIN BOARD FFC","WalkieTalkie_JLCPCB:FPC-SMD_P0.50-16P_FGS-XJ-H2.0","AFC01-S16FCC-00","C262272",""
"R201,R202","4.7k","Resistor_SMD:R_0603_1608Metric","","","No"
"SW201","OK","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","TS-1088R-02026","C455280",""
"SW202","TOP LEFT","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","TS-1088R-02026","C455280",""
"SW203","TOP RIGHT","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","TS-1088R-02026","C455280",""
"SW204","BOTTOM LEFT","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","TS-1088R-02026","C455280",""
"SW205","BOTTOM RIGHT","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","TS-1088R-02026","C455280",""
"U201","HS96L03W2C03 0.96 OLED","WalkieTalkie_JLCPCB:OLED-TH_L27.8-W27.2-P2.54_C9900033791","HS96L03W2C03","C5248080",""
"U202","INMP441ACEZ","WalkieTalkie_JLCPCB:MID-SMD_L4.7-W3.8_INMP441ACEZ","INMP441ACEZ","C9900011556",""
